Stage,ID,Task,Owner,Effort (p-days),Predecessors,Week,Workstream,Notes
S0,0.1,Sponsor sign-off & charter,PM,1.0,-,W1,WS1,Charter signed; budget approved.
S0,0.2,RACI agreed,PM,0.5,0.1,W1,WS1,
S0,0.3,"Steering committee chartered, first meeting held",PM,0.5,0.1,W1,WS1,Weekly cadence agreed.
S0,0.4,RAID log v1 published,PM,1.0,0.1,W1,WS1,
S0,0.5,Comms plan signed off,Change Mgr,2.0,0.1,W1,WS8,T-10/T-3/T-1/D-0/D+1 templates.
S0,0.6,Stakeholder & contact matrix (per repo),Change Mgr,1.0,0.1,W1,WS8,
S0,0.7,Pull ADO users from all 100 repos,IAM,1.0,0.1,W1,WS2,
S0,0.8,Identity mapping CSV (ADO -> Entra UPN -> EMU),IAM,2.0,0.7,W1,WS2,Drives EMU provisioning.
S0,0.9,Inventory: gh ado2gh inventory-report per ADO org,Platform,1.0,0.1,W1,WS3,
S0,0.10,Repo size + LFS audit,Platform,1.0,0.9,W1,WS3,Identify oversize repos early.
S0,0.11,Open PRs + open branches snapshot,Platform,1.0,0.9,W2,WS3,
S0,0.12,Pipeline inventory per repo (YAML vs Classic),DevEx,2.0,0.9,W2,WS6,Classic ratio drives Phase 2 sizing too.
S0,0.13,ADO branch policy inventory per repo,Platform,2.0,0.9,W2,WS7,Input to ruleset design.
S0,0.14,ADO service connections & integrations inventory,DevEx,1.0,0.9,W2,WS6,
S0,0.15,Complexity scoring per repo,Tech Lead,1.0,0.10-0.14,W2,WS3,1-5 across 6 factors.
S0,0.16,Wave assignment (Pilot + W1-W4),Tech Lead,1.0,0.15,W2,WS3,8 ADO orgs per wave target.
S0,0.17,Baseline ruleset JSON v1,InfoSec + Platform,2.0,0.13,W2,WS7,Default-branch ruleset template.
S0,0.18,CODEOWNERS template,Platform,0.5,-,W2,WS7,
S0,0.19,M1 gate: steering sign-off on wave plan & risks,PM + Sponsor,0.5,"0.16, 0.17",W2,WS1,GATE M1.
S1,1.1,EMU enterprise shell created,IAM,1.0,0.19,W3,WS2,
S1,1.2,Break-glass admin accounts configured,IAM,1.0,1.1,W3,WS2,
S1,1.3,SAML SSO configured with MoJ Entra ID,IAM,2.0,1.1,W3,WS2,Critical path.
S1,1.4,SCIM endpoint configured,IAM,1.0,1.3,W3,WS2,
S1,1.5,SCIM mapping (Entra attributes -> GHE),IAM,1.0,1.4,W3,WS2,
S1,1.6,SCIM dry-run with 10 test users,IAM,1.0,1.5,W4,WS2,
S1,1.7,SCIM full provisioning sweep,IAM,1.0,1.6,W4,WS2,
S1,1.8,UAT: SSO login + access for 10 users,Tech Lead,1.0,1.7,W4,WS2,
S1,1.9,Target GHE orgs pre-created (1:1 with ADO orgs),Platform,1.0,1.1,W3,WS3,
S1,1.10,"Migration workstation provisioned (gh, gh-gei, gh-ado2gh)",Platform,0.5,-,W3,WS3,
S1,1.11,Key Vault for migration secrets,Platform,1.0,-,W3,WS3,
S1,1.12,ADO PAT + GH PAT issued and vaulted,Platform + IAM,0.5,1.11,W3,WS3,
S1,1.13,Parameterised GEI migration script template,Platform,2.0,1.10,W3,WS3,
S1,1.14,Ruleset application script (apply JSON to any repo),Platform,1.0,"0.17, 1.9",W4,WS7,
S1,1.15,Migration tracking dashboard (Power BI / Grafana),Platform,2.0,-,W4,WS3,
S1,1.16,Sandbox GHE org for dry-runs,Platform,0.5,1.9,W4,WS3,
S1,1.17,End-to-end factory smoke test (1 throwaway repo),Migration Pod,1.0,"1.13, 1.14",W4,WS3,
S1,1.18,M2 gate: identity + factory ready,Sponsor + IAM + TL,0.5,"1.8, 1.17",W4,WS1,GATE M2.
S2,2.1,"Pilot scope confirmed (5 repos, owners on board)",PM,0.5,1.18,W5,WS1,
S2,2.2,T-10 / T-3 / T-1 comms to pilot users,Change Mgr,1.0,2.1,W5,WS8,
S2,2.3,Dry-run pilot migration into sandbox,Migration Pod,1.0,"1.17, 2.1",W5,WS4,
S2,2.4,Validate dry-run,Migration Pod,0.5,2.3,W5,WS4,"Commits, branches, PRs, attachments."
S2,2.5,Pilot Go/No-Go meeting,Steering,0.5,2.4,W5,WS1,
S2,2.6,Freeze pilot ADO repos (read-only),ADO Admin,0.5,2.5,W6,WS9,
S2,2.7,Execute pilot migration (5 repos),Migration Pod,1.0,2.6,W6,WS4,
S2,2.8,Apply rulesets to pilot repos,InfoSec,0.5,2.7,W6,WS7,
S2,2.9,Apply CODEOWNERS to pilot repos,Platform,0.5,2.7,W6,WS7,
S2,2.10,Install Azure Boards GitHub App on GHE pilot org,Platform + ADO Admin,0.5,1.9,W6,WS5,
S2,2.11,Connect Boards App to ADO org + projects,Platform + ADO Admin,0.5,2.10,W6,WS5,
S2,2.12,Test AB#123 linking on commit,DevEx,0.5,2.11,W6,WS5,
S2,2.13,Test AB# linking on PR + auto-state-transition on merge,DevEx + Apps SME,1.0,2.12,W6,WS5,
S2,2.14,Install Azure Pipelines GitHub App on GHE org,Platform,0.5,1.9,W6,WS6,
S2,2.15,"Re-point pilot pipelines (5-10 pipelines, YAML)",DevEx,2.0,"2.7, 2.14",W6,WS6,
S2,2.16,Validate build + release end-to-end,DevEx + Owners,1.0,2.15,W6,WS6,
S2,2.17,Mannequin reclamation for pilot,Platform,1.0,2.7,W6,WS4,
S2,2.18,Repo owner smoke tests & sign-off,Repo Owners,0.5,2.7-2.9,W6,WS4,
S2,2.19,Hypercare D+1 -> D+3,Wave Lead + Pods,2.0,2.7,W6,WS10,
S2,2.20,Archive pilot ADO repos (D+7),ADO Admin,0.5,2.19,W6,WS9,
S2,2.21,Pilot retrospective + runsheet update,PM,1.0,2.19,W6,WS1,
S2,2.22,"M3 gate: pilot accepted, scale authorised",Steering,0.5,2.21,W6,WS1,GATE M3.
S3,W1.1,"Wave 1 manifest confirmed (repos, owners, pipelines)",Wave Lead,0.5,M3 / prev wave hypercare exit,W7,WS1,
S3,W1.2,Wave 1 T-10 / T-3 / T-1 comms,Change Mgr,1.0,W1.1,W7,WS8,
S3,W1.3,Wave 1 dry-run migration into sandbox,Migration Pod,1.0,W1.1,W7,WS4,
S3,W1.4,Wave 1 dry-run validation,Migration Pod,0.5,W1.3,W7,WS4,
S3,W1.5,Wave 1 Go/No-Go meeting,Steering,0.5,W1.4,W7,WS1,
S3,W1.6,Freeze wave 1 ADO repos,ADO Admin,0.5,W1.5,W7,WS9,
S3,W1.7,Execute wave 1 migration (25 repos parallel),Migration Pod,1.0,W1.6,W7,WS4,
S3,W1.8,Apply rulesets + CODEOWNERS for wave 1,InfoSec + Platform,0.5,W1.7,W7,WS7,
S3,W1.9,Verify Boards integration on wave 1 repos,DevEx,0.5,W1.7,W7,WS5,
S3,W1.10,Re-point pipelines for wave 1 (~25-50 pipelines),DevEx,3.0,W1.7,W7,WS6,
S3,W1.11,Validate builds for wave 1,DevEx + Owners,1.0,W1.10,W7,WS6,
S3,W1.12,Mannequin reclamation wave 1,Platform,1.0,W1.7,W7,WS4,
S3,W1.13,Repo owner smoke tests & sign-off wave 1,Repo Owners,1.0,"W1.7, .8",W7,WS4,
S3,W1.14,Hypercare wave 1 D+1 -> D+3,Wave Lead + Pods,2.0,W1.7,W7,WS10,
S3,W1.15,Archive wave 1 ADO repos (D+7),ADO Admin,0.5,W1.14,W7,WS9,
S3,W1.16,Wave 1 closure report,Wave Lead,0.5,W1.14,W7,WS1,
S3,W2.1,"Wave 2 manifest confirmed (repos, owners, pipelines)",Wave Lead,0.5,M3 / prev wave hypercare exit,W7,WS1,
